あーいん	あーいん 〈合う〉【活】あーたん、あーらん、
わかりーん	わかりーん 〈別れる〉【活】わかりたん、わ
わかり	わかり 〈別れ〉 【例】わかりぬ しからーさ
わかり あちさ	わかり あちさ 〈最後の暑さ〉 【例】ちぬ
わかいん	わかいん 〈わかる〉【活】わかたん、わから
わかり びーさ	わかり びーさ 〈余寒〉 【例】うちなーぬ
わかいん	わかいん 〈分かれる〉【活】わかたん、わから
わかすん	わかすん 〈沸かす〉【活】わかちゃん、わかさ
わかすん	わかすん 〈分ける〉【活】わかちゃん、わか
わごー、まるみ	わごー、まるみ 〈和〉 【例】おーえーむ
わさわさ すん	わさわさ すん 〈がやがやする〉【活】〜さ
わじゃうぇー	わじゃうぇー 〈災い〉 【例】くちぇー 
わじら わじら すん	わじら わじら すん 〈今にも怒りそ
わさみちゅん	わさみちゅん 〈騒ぐ〉【活】わさみちゃん、
わじゃむん	わじゃむん 〈しわがよる、しかめっつらにな
わしーん	わしーん 〈忘れる〉【活】わしたん、わしら
わじゃみーん	わじゃみーん 〈しわをよせる〉【活】わじゃ
わじーん	わじーん 〈腹をたてる、怒る〉【活】わじた
わじわじ すん	わじわじ すん 〈腹をたてる、怒る〉【活】〜
わじゃんかー すん	わじゃんかー すん 〈しかめっ面をす
わした	わした 〈我々（強調）〉 【例】うやふぁーふ
わた	わた 〈腹〉 【例】なーだ わたびないん さ
わじゃ	わじゃ 〈仕事、職業〉 【例】ちかぐろー じ
わた うち	わた うち 〈腹のなか〉 【例】くちしぇー
わたぬ みー	わたぬ みー 〈腹一杯〉【活】わた なから
わた でー	わた でー 〈腹持ち〉 【例】むちぇー わ
わた ぶたー	わた ぶたー 〈出腹の者〉 【例】くぬぐろ
わたすん	わたすん 〈渡す〉【活】わたちゃん、わたさ
わた ふっくぃー	わた ふっくぃー〈お腹が張ること〉 【例】
わたくし	わたくし 〈へそくり〉 【例】わたくしぐゎー
わた ぼんぼん すん	わた ぼんぼん すん 〈お腹がだぶだぶす
わた むげーゆん	わた むげーゆん 〈はらわたが煮えくり返
わたんぢ	わたんぢ 〈船着き場〉 【例】わたんんぢぇ
わち ぎー	わち ぎー 〈脇毛〉 【例】わちぎーや う
わちゃくいん	わちゃくいん 〈からかう〉【活】わちゃく
わたいん	わたいん 〈渡る〉【活】わたたん、わたらん、
わちゃく すん	わちゃく すん 〈からかう〉【活】〜さん、〜
わったー	わったー 〈私たち〉 【例】わったーんかえ
わちゃく	わちゃく 〈からかうこと〉 【例】あれー 
わったー くる	わったー くる 〈私たち自身で〉 【例】わ
わちゃらいん	わちゃらいん 〈わずらう〉【活】わちゃらた
わび	わび 〈詫び〉 【例】どぅーぬ わっさんでぃ
わちゃれー	わちゃれー 〈わずらい〉 【例】わちゃれー
わらいん	わらいん 〈笑う〉【活】わらたん、わらーん、
わちゅん	わちゅん 〈湧く〉【活】わちゃん、わかん、わ
わっくゎすん	わっくゎすん 〈ほぐす〉【活】わっくゎちゃ
わらーらん われー	わらーらん われー 〈無理な笑い〉 【例】
わっくぃーん	わっくぃーん 〈ほぐれる、分解する〉【活】
われー かんぢゅん	われー かんぢゅん〈にこにこ笑う〉【活】〜
われー ばなし	われー ばなし 〈笑い話〉 【例】いちちょ
わらび なー	わらび なー 〈童名〉 【例】あやかりよー
われー ふくい	われー ふくい 〈喜び笑い〉 【例】うっさ
わらび	わらび 〈子ども〉 【例】わらび しかすんね
わらび なち	わらび なち 〈子どものように大泣きする
わらび んちゃー	わらび んちゃー 〈子どもたち〉 【例】む
わらばー ぐぃー	わらばー ぐぃー 〈子どもの声〉 【例】わ
わらび がみ	わらび がみ 〈童神〉 【例】わらびぬ 
わらび ぐぃー	わらび ぐぃー〈子どものような声〉 【例】
わらび ぢむ	わらび ぢむ 〈童心〉 【例】んかしぇー、
わいん	わいん 〈割る〉【活】わたん、わらん、わてぃ
わりーん	わりーん 〈割れる〉【活】わりたん、わりら
わり がーみ	わり がーみ 〈大酒飲み〉 【例】あれー 
わり むん	わり むん 〈割れ物〉 【例】わりむん や
わんちゃめーいん	わんちゃめーいん 〈（物品で）弁償する〉
わんぶー	わんぶー 〈どんぶり〉 【例】わんぶーや 
うぃー	うぃー 〈柄〉 【例】ほーちゃーぬ うぃーぬ
うぃーゆん	うぃーゆん 〈酔う〉【活】うぃーたん、うぃ
うぃー ばち かーかー すん	うぃー ばち かーかー すん 〈吐き気
うぃー ふりーん	うぃ ー  ふ り ー ん 〈酔 っ て 正 体 を 失 う〉
うぃー なち	うぃー なち 〈酔い泣き〉【活】うぃー に
うぃっちゃー、うぃっちゅ	うぃっちゃー、うぃっちゅ 〈酔っぱらい〉
うぃきー	うぃきー 〈男兄弟、男の子〉 【例】わんね
うぃきが	うぃきが 〈男〉 【例】うぃきがー そーき
うぃー ばちゅん	うぃー ばちゅん 〈吐き気を催す〉【活】〜
うぃきが ふぁーふじ	うぃきが ふぁーふじ 〈祖父〉【活】うぃ
うぃなぐ だち	うぃなぐ だち 〈女所帯〉 【例】うぃなぐ
うぃきが ふーじー	うぃきが ふーじー 〈男のような女〉【活】
うぃなぐ ぬーし	うぃなぐ ぬーし 〈女主人〉 【例】でー
うぃきが やぐさみ	うぃきが やぐさみ 〈男やもめ〉【活】うぃ
うぃなぐ むちり	うぃなぐ むちり 〈女狂い〉 【例】うぃ
うぃなぐ めーさー	うぃなぐ めーさー 〈女の子におべっかを
うぃなぐ	うぃなぐ 〈女〉 【例】うぃなごー っんまり
うぃなぐんぐゎ	うぃなぐんぐゎ 〈女の子〉【活】うぃなぐぬ
をぅー	をぅー 〈苧〉 【例】をぅーんでぃ いーしぇ
をぅいみ／をぅゆみ	をぅいみ／をぅゆみ 〈四季折々の祝日〉
をぅいみ しちび	をぅいみ しちび 〈年間行事〉 【例】うち
をぅー	をぅー 〈緒〉 【例】わらびんちゃーぬ ふ
をぅーいん	をぅーいん 〈折る〉【活】をぅーたん、をぅ
をぅー	をぅー 〈雄〉
をぅー ぢる	をぅー ぢる 〈雄弦〉 【例】さんしぬんか
をぅーどぅい	をぅーどぅい 〈雄鶏〉
をぅー むなー、をぅー むん	をぅー むなー、をぅー むん 〈雄〉
をぅーりーん	をぅーりーん〈折れる、我を折る〉【活】をぅ
をぅーいん	をぅーいん 〈揺り動かす〉【活】をぅーたん、
をぅーい わっくゎすん	をぅーい わっくゎすん 〈揺すぶってば
をぅがりーん	をぅがりーん 〈飢える〉【活】をぅがりた
をぅーじ	をぅーじ 〈砂糖きび〉 【例】をぅーじぬ 
をぅーじーん	をぅーじーん 〈応じる、承諾する〉【活】を
をぅさまいん	をぅさまいん 〈収まる〉【活】をぅさまた
をぅがむん	をぅがむん 〈拝む〉【活】をぅがだん、をぅ
をぅさみーん	をぅさみーん 〈収める、しつける〉【活】を
をぅじゃさー	をぅじゃさー 〈叔父〉【活】をぅんちゅー
をぅたいん	をぅたいん 〈疲れる〉【活】をぅたたん、を
をぅどぅい にんじゅ	をぅどぅい にんじゅ 〈舞踊団、劇団〉
をぅない	をぅない 〈姉妹〉 【例】をぅなえー うぃき
をぅってぃー	をぅってぃー 〈おととい〉 【例】をぅっ
をぅとぅ	をぅとぅ 〈夫〉 【例】うぃなぐんかえー 
をぅない げーい	をぅない げーい 〈兄弟の二人で姉妹の二
をぅどぅいん	をぅどぅいん 〈踊る〉【活】をぅどぅたん、
をぅどぅい	をぅどぅい 〈踊り〉 【例】をぅどぅいんか
をぅばまー	をぅばまー 〈伯⺟〉 【例】いったー をぅ
をぅん	をぅん 〈恩〉 【例】をぅんぬ ある っちゅ
をぅん	をぅん 〈居る〉【活】をぅたん、をぅらん、をぅ
をぅどぅい さー	をぅどぅい さー 〈舞踊家〉【活】しばい 
をーじ	をーじ 〈王子〉 【例】うしゅがなしーめーぬ
っわー	っわー 〈豚〉 【例】しまっんまりぬ あぐー
っわー〜	っわー〜〈上〉
っわーび がー	っわーび がー 〈表面の皮〉 【例】りんご
っわー しば	っわー しば 〈上唇〉 【例】っわーしばぬ
っわーぎーん	っわーぎーん 〈追う、追いはらう〉【活】っ
っわーすん	っわーすん 〈成⻑させる、増やす〉【活】っ
っわーち	っわーち 〈おしゃれ〉 【例】うぃきが や
っわー ぢ	っわー ぢ 〈外出着〉 【例】ふかから け
っわー ぢらー	っわー ぢらー 〈うわべだけの面構え〉
っわーちち	っわーちち 〈天候〉 【例】ちきゅーぬ い
っわー ふぃじ	っわー ふぃじ 〈口ひげ〉 【例】しんにん
っわーちみしぇーん	っわーちみしぇーん 〈お元気でいらっし
っわーない	っわーない 〈やきもち、嫉妬〉 【例】ちょ
っわーば	っわーば 〈余計〉 【例】っわーば ぐとぅ 
っわーば ぢけー	っわーば ぢけー 〈無駄使い〉 【例】ちか
っわーば ぢむ	っわーば ぢむ 〈余計な考え〉 【例】りん
っわーば ぐとぅ	っわーば ぐとぅ 〈余計なこと〉 【例】い
っわーび	っわーび 〈表面〉
っわーび ぢゅらー	っわーび ぢゅらー 〈外見をつくろう者〉
っわーび なんどぅるー	っわーび なんどぅるー 〈表面はつるつ
っわーば じん	っわーば じん 〈無駄なお金〉 【例】ぬー
っわーりーん	っわーりーん 〈追われる〉【活】っわーりた
っわーば しわ	っわーば しわ 〈余計な心配、とりこし苦
っうぃー	っうぃー 〈上〉
っうぃー ぬぢゅん	っうぃー ぬぢゅん 〈追い抜く〉【活】〜
っうぃー むてぃ	っうぃー むてぃ 〈川上〉 【例】かーらぬ
っうぃー ほーいん	っうぃー ほーいん 〈追い払う〉【活】〜
っうぃーちぇー をぅがむん	っうぃーちぇー をぅがむん 〈お会
っうぃー まーすん	っうぃー まーすん 〈追い回す〉【活】〜
っうぃーちゅん	っうぃーちゅん 〈揺れ動く〉 【例】ぢー
っうぃーぢゅん	っうぃーぢゅん 〈泳ぐ〉【活】っうぃーぢゃ
っうぃーゆん	っうぃーゆん 〈老いる〉【活】っうぃーた
ふどぅ っうぃーゆん	ふどぅ っうぃーゆん 〈成⻑する〉【活】〜
っうぃーちょー	っうぃーちょー 〈ウイキョー〉 【例】っ
っうぃっちゅ	っうぃっちゅ 〈お年寄り〉 【例】っうぃっ
っうぃー やんぢゅん	っうぃー やんぢゅん 〈成⻑し過ぎて悪く
っうぃーゆん	っうぃーゆん 〈植える〉【活】っうぃーた
っうぇーか	っうぇーか 〈親戚〉 【例】かーま っうぇ
っうぇーだ	っうぇーだ 〈合間〉 【例】はなしぬ っう
っうぇーま	っうぇーま 〈間〉 【例】くぬ まちやー 
っうぇーか はろーじ	っうぇーか はろーじ 〈親類縁者〉 【例】
っうぇーか びれー	っうぇーか びれー〈親戚付き合い〉 【例】
っうぇーき	っうぇーき 〈富裕〉 【例】くみ あちねー
っうぇーきー／っうぇーき んちゅ	っうぇーきー／っうぇーき んちゅ〈金
っうぇんちゅ	っうぇんちゅ 〈ネズミ〉 【例】なまぬ ま
っうぇんちゅ やーまー	っうぇんちゅ やーまー 〈ネズミ捕り〉
っうぇーく	っうぇーく 〈櫂〉 【例】っうぇーくさーに
っうぇんみ	っうぇんみ 〈降参〉 【例】「なー っうぇ
んかし んちゅ	んかし んちゅ 〈昔の人〉 【例】んかし
んきーん	んきーん 〈剥ける〉【活】んきたん、んきらん、
